price,bedrooms,bathrooms,sqft_living,sqft_lot,floors,waterfront,view,condition,grade,sqft_above,sqft_basement,lat,long,sqft_living15,sqft_lot15,sale_year,house_age,age_since_renovation,is_renovated,Total_rooms,Price_per_sqft,Rooms_per_floor,basement_ratio,LivingLot_ratio,cluster
937000.0,3,1.75,2450,2691,2.0,0,0,3,8,1750,700,47.6386,-122.36,1760,3573,2014,99,99,0,4.75,382.44897959183675,2.375,0.2857142857142857,0.9104422147900408,1
667000.0,3,1.0,1400,1581,1.5,0,0,5,8,1400,0,47.6221,-122.314,1860,3861,2014,105,105,0,4.0,476.42857142857144,2.6666666666666665,0.0,0.8855154965211891,1
438000.0,3,1.75,1520,6380,1.0,0,0,3,7,790,730,47.695,-122.304,1520,6235,2014,66,66,0,4.75,288.1578947368421,4.75,0.48026315789473684,0.23824451410658307,1
719000.0,4,2.5,2570,7173,2.0,0,0,3,8,2570,0,47.7073,-122.11,2630,6026,2015,10,10,0,6.5,279.76653696498056,3.25,0.0,0.35828802453645614,2
580500.0,3,2.5,2320,3980,2.0,0,0,3,8,2320,0,47.5391,-122.07,2580,3980,2014,11,11,0,5.5,250.2155172413793,2.75,0.0,0.5829145728643216,2
280000.0,2,1.5,1190,1265,3.0,0,0,3,7,1190,0,47.7274,-122.357,1390,1756,2014,9,9,0,3.5,235.2941176470588,1.1666666666666667,0.0,0.9407114624505929,1
687500.0,4,1.75,2330,5000,1.5,0,0,4,7,1510,820,47.6823,-122.368,1460,5000,2014,85,85,0,5.75,295.06437768240346,3.8333333333333335,0.351931330472103,0.466,1
535000.0,3,1.0,1090,3000,1.5,0,0,4,8,1090,0,47.6889,-122.375,1570,5080,2014,85,85,0,4.0,490.8256880733945,2.6666666666666665,0.0,0.36333333333333334,1
322500.0,4,2.75,2060,6659,1.0,0,0,3,7,1280,780,47.4276,-122.157,2020,8720,2014,33,33,0,6.75,156.55339805825244,6.75,0.3786407766990291,0.30935575912299146,0
696000.0,3,2.5,2300,3060,1.5,0,0,3,8,1510,790,47.6827,-122.31,1590,3264,2014,84,12,1,5.5,302.60869565217394,3.6666666666666665,0.34347826086956523,0.7516339869281046,1
550000.0,4,1.0,1660,34848,1.0,0,0,1,5,930,730,47.6621,-122.132,2160,11467,2014,81,81,0,5.0,331.32530120481925,5.0,0.4397590361445783,0.04763544536271809,2
640000.0,4,2.0,2360,6000,2.0,0,0,4,8,2360,0,47.6702,-122.362,1730,4700,2014,110,110,0,6.0,271.1864406779661,3.0,0.0,0.3933333333333333,1
240000.0,4,1.0,1220,8075,1.0,0,0,2,7,890,330,47.3341,-122.282,1290,7800,2015,46,46,0,5.0,196.72131147540983,5.0,0.27049180327868855,0.15108359133126936,0
605000.0,4,2.5,2620,7553,2.0,0,0,3,8,2620,0,47.5301,-122.18,2620,11884,2014,18,18,0,6.5,230.91603053435114,3.25,0.0,0.3468820336290216,0
625000.0,4,2.5,2570,5520,2.0,0,0,3,9,2570,0,47.6145,-122.027,2470,5669,2014,14,14,0,6.5,243.19066147859922,3.25,0.0,0.46557971014492755,2
775000.0,4,2.25,4220,24186,1.0,0,0,3,8,2600,1620,47.445,-122.347,2410,30617,2014,30,30,0,6.25,183.64928909952607,6.25,0.38388625592417064,0.17448110477135534,0
861990.0,5,2.75,3595,5639,2.0,0,0,3,9,3595,0,47.6848,-122.016,3625,5639,2014,0,0,0,7.75,239.77468706536857,3.875,0.0,0.6375243837559851,2
685000.0,3,1.0,1570,2280,2.0,0,0,3,7,1570,0,47.6413,-122.364,1580,2640,2014,92,92,0,4.0,436.30573248407643,2.0,0.0,0.6885964912280702,1
309000.0,3,1.0,1280,9656,1.0,0,0,4,6,920,360,47.4485,-122.175,1340,8808,2014,55,55,0,4.0,241.40625,4.0,0.28125,0.13256006628003314,0
488000.0,3,2.5,3160,13603,2.0,0,0,3,8,3160,0,47.7443,-121.977,3050,9232,2014,11,11,0,5.5,154.43037974683546,2.75,0.0,0.2323016981548188,2
210490.0,3,1.0,990,8528,1.0,0,0,3,6,990,0,47.3066,-122.371,1228,8840,2015,49,49,0,4.0,212.6161616161616,4.0,0.0,0.11608818011257035,0
785000.0,4,2.5,2290,13416,2.0,0,0,4,9,2290,0,47.6194,-122.151,2680,13685,2014,33,33,0,6.5,342.7947598253275,3.25,0.0,0.1706917113893858,2
450000.0,3,1.75,1250,5963,1.0,0,0,4,7,1250,0,47.6796,-122.301,970,5100,2015,62,62,0,4.75,360.0,4.75,0.0,0.20962602716753312,1
1350000.0,3,2.5,2753,65005,1.0,1,2,5,9,2165,588,47.4041,-122.451,2680,72513,2015,62,62,0,5.5,490.37413730475845,5.5,0.21358517980385033,0.04235058841627567,0
228000.0,3,1.0,1190,9199,1.0,0,0,3,7,1190,0,47.4258,-122.322,1190,9364,2014,59,59,0,4.0,191.5966386554622,4.0,0.0,0.129361887161648,0
345000.0,5,2.5,3150,9134,1.0,0,0,4,8,1640,1510,47.4934,-122.189,1990,9133,2015,49,49,0,7.5,109.52380952380952,7.5,0.4793650793650794,0.3448653382964747,0
600000.0,3,1.75,1410,4080,1.0,0,0,4,7,1000,410,47.6808,-122.384,1410,4080,2014,64,64,0,4.75,425.531914893617,4.75,0.2907801418439716,0.34558823529411764,1
585000.0,2,1.75,1980,8550,1.0,0,0,3,7,990,990,47.6989,-122.369,1480,6738,2015,34,34,0,3.75,295.45454545454544,3.75,0.5,0.23157894736842105,1
920000.0,5,2.25,2730,6000,1.5,0,0,3,8,2130,600,47.6571,-122.281,2730,6000,2015,88,88,0,7.25,336.996336996337,4.833333333333333,0.21978021978021978,0.455,1
885000.0,4,2.5,2830,5000,2.0,0,0,3,9,2830,0,47.6597,-122.29,1950,5000,2014,19,19,0,6.5,312.7208480565371,3.25,0.0,0.566,1
292500.0,4,2.5,2250,4495,2.0,0,0,3,7,2250,0,47.3663,-122.114,2250,4500,2014,6,6,0,6.5,130.0,3.25,0.0,0.5005561735261401,0
301000.0,3,2.5,2420,4750,2.0,0,0,3,8,2420,0,47.3663,-122.122,2690,4750,2015,12,12,0,5.5,124.3801652892562,2.75,0.0,0.5094736842105263,0
951000.0,5,3.25,3250,14342,2.0,0,4,4,8,3250,0,47.588,-122.116,2960,11044,2014,46,46,0,8.25,292.61538461538464,4.125,0.0,0.22660716775902942,2
430000.0,4,3.0,1850,9976,2.0,0,0,3,8,1850,0,47.5059,-122.149,2270,8542,2015,24,24,0,7.0,232.43243243243242,3.5,0.0,0.18544506816359263,0
650000.0,3,2.25,2150,21235,1.0,0,3,4,8,1590,560,47.4336,-122.339,2570,18900,2014,55,55,0,5.25,302.3255813953488,5.25,0.26046511627906976,0.10124793972215682,0
289000.0,3,1.75,1260,8400,1.0,0,0,3,7,1260,0,47.4366,-122.335,1290,8750,2014,60,60,0,4.75,229.36507936507937,4.75,0.0,0.15,0
505000.0,3,1.75,2519,8690,2.0,0,0,5,8,2519,0,47.4428,-122.344,2500,9500,2014,41,41,0,4.75,200.47637951568083,2.375,0.0,0.289873417721519,0
549000.0,3,1.75,1540,1044,3.0,0,0,3,8,1540,0,47.6765,-122.32,1580,3090,2014,0,0,0,4.75,356.4935064935065,1.5833333333333333,0.0,1.475095785440613,1
425000.0,3,2.25,1660,6000,1.0,0,0,3,7,1110,550,47.6113,-122.297,1440,4080,2014,35,35,0,5.25,256.0240963855422,5.25,0.3313253012048193,0.27666666666666667,1
317625.0,3,2.75,2770,3809,1.5,0,0,5,7,1770,1000,47.5747,-122.304,1440,4000,2014,89,89,0,5.75,114.66606498194946,3.8333333333333335,0.36101083032490977,0.7272249934365975,1
975000.0,4,2.5,2720,11049,2.0,0,0,3,10,2720,0,47.5815,-122.192,2750,11049,2014,25,25,0,6.5,358.45588235294116,3.25,0.0,0.24617612453615711,2
287000.0,4,2.5,2240,4648,2.0,0,0,3,7,2240,0,47.3378,-122.257,2221,4557,2014,9,9,0,6.5,128.125,3.25,0.0,0.4819277108433735,0
204000.0,3,1.0,1000,12070,1.0,0,0,4,7,1000,0,47.3621,-122.11,1010,12635,2014,46,46,0,4.0,204.0,4.0,0.0,0.08285004142502071,0
1325000.0,5,2.25,3200,20158,1.0,0,0,3,8,1600,1600,47.6303,-122.215,3390,20158,2014,49,49,0,7.25,414.0625,7.25,0.5,0.1587459073320766,1
1040000.0,5,3.25,4770,50094,1.0,0,0,4,11,3070,1700,47.6525,-122.16,3530,38917,2014,41,41,0,8.25,218.02935010482182,8.25,0.35639412997903563,0.09522098454904779,2
325000.0,3,2.0,1260,5612,1.0,0,0,4,7,1260,0,47.7362,-122.179,1640,4745,2015,43,43,0,5.0,257.93650793650795,5.0,0.0,0.22451888809693513,2
571000.0,4,2.0,2750,7807,1.5,0,0,5,7,2250,500,47.7168,-122.287,1510,7807,2014,98,98,0,6.0,207.63636363636363,4.0,0.18181818181818182,0.3522479825797361,1
360000.0,4,2.5,2380,5000,2.0,0,0,3,8,2380,0,47.3608,-122.036,2420,5000,2014,9,9,0,6.5,151.26050420168067,3.25,0.0,0.476,0
349000.0,3,1.75,1790,50529,1.0,0,0,5,7,1090,700,47.3511,-122.073,1940,50529,2015,50,50,0,4.75,194.97206703910615,4.75,0.39106145251396646,0.03542520136951058,0
832500.0,4,4.0,3430,35102,2.0,0,0,4,10,2390,1040,47.5822,-121.987,3240,35020,2014,28,28,0,8.0,242.71137026239066,4.0,0.3032069970845481,0.09771522990143011,2
380000.0,4,1.75,1760,7300,1.0,0,0,3,7,880,880,47.6034,-122.125,1680,7500,2014,58,58,0,5.75,215.9090909090909,5.75,0.5,0.2410958904109589,2
480000.0,3,1.0,1040,5060,1.0,0,0,3,7,1040,0,47.5636,-122.394,890,5060,2015,74,74,0,4.0,461.53846153846155,4.0,0.0,0.20553359683794467,1
410000.0,3,1.0,1410,5060,1.0,0,0,4,7,910,500,47.7073,-122.34,1130,5693,2014,58,58,0,4.0,290.78014184397165,4.0,0.3546099290780142,0.27865612648221344,1
720000.0,4,2.5,3450,39683,2.0,0,0,3,10,3450,0,47.342,-122.025,3350,39750,2015,13,13,0,6.5,208.69565217391303,3.25,0.0,0.08693899150769852,0
390000.0,3,2.5,2350,5100,2.0,0,0,3,8,2350,0,47.3512,-122.008,2350,5363,2014,11,11,0,5.5,165.95744680851064,2.75,0.0,0.46078431372549017,0
360000.0,4,2.5,1900,5889,2.0,0,0,3,7,1900,0,47.349,-122.031,1870,6405,2014,22,22,0,6.5,189.47368421052633,3.25,0.0,0.3226354219731703,0
355000.0,2,1.0,2020,6720,1.0,0,0,3,7,1010,1010,47.5474,-122.291,1720,6720,2014,66,66,0,3.0,175.74257425742573,3.0,0.5,0.3005952380952381,1
356000.0,3,1.5,1680,8712,1.0,0,0,3,8,1680,0,47.4811,-122.149,1850,8797,2015,51,51,0,4.5,211.9047619047619,4.5,0.0,0.1928374655647383,0
315000.0,3,1.0,960,6634,1.0,0,0,3,6,960,0,47.7264,-122.31,1570,7203,2014,62,62,0,4.0,328.125,4.0,0.0,0.1447090744648779,1
940000.0,3,1.5,2140,3600,2.0,0,0,3,9,1900,240,47.6337,-122.365,2020,4800,2014,89,89,0,4.5,439.25233644859816,2.25,0.11214953271028037,0.5944444444444444,1
305000.0,5,2.25,2660,8400,1.5,0,0,5,7,2660,0,47.2909,-122.189,1590,8165,2014,53,53,0,7.25,114.66165413533835,4.833333333333333,0.0,0.31666666666666665,0
461000.0,3,3.25,2770,6278,2.0,0,0,3,9,1980,790,47.5228,-122.199,1900,7349,2014,8,8,0,6.25,166.4259927797834,3.125,0.2851985559566787,0.4412233195285123,0
215000.0,2,2.25,1610,2040,2.0,0,0,4,7,1610,0,47.518,-122.194,1950,2025,2014,35,35,0,4.25,133.54037267080744,2.125,0.0,0.7892156862745098,0
335000.0,2,1.75,1030,1066,2.0,0,0,3,7,765,265,47.5394,-122.387,1030,1106,2014,8,8,0,3.75,325.24271844660194,1.875,0.25728155339805825,0.9662288930581614,1
243500.0,4,2.5,1980,7403,2.0,0,0,3,7,1980,0,47.2897,-122.372,1980,7510,2014,26,26,0,6.5,122.97979797979798,3.25,0.0,0.2674591381872214,0
1099880.0,5,2.75,3520,6353,2.0,0,0,4,10,3520,0,47.6506,-122.391,2520,6250,2015,14,14,0,7.75,312.46590909090907,3.875,0.0,0.5540689438060759,1
153000.0,3,1.0,1200,10500,1.0,0,0,3,7,1200,0,47.322,-122.351,1350,10500,2015,53,53,0,4.0,127.5,4.0,0.0,0.11428571428571428,0
430000.0,3,1.5,1580,5000,1.0,0,0,3,8,1290,290,47.687,-122.386,1570,4500,2014,75,75,0,4.5,272.1518987341772,4.5,0.18354430379746836,0.316,1
700000.0,3,1.5,1580,5000,1.0,0,0,3,8,1290,290,47.687,-122.386,1570,4500,2014,75,75,0,4.5,443.0379746835443,4.5,0.18354430379746836,0.316,1
905000.0,4,2.5,3300,10250,1.0,0,0,3,7,2390,910,47.5873,-122.249,1950,6045,2014,68,23,1,6.5,274.24242424242425,6.5,0.27575757575757576,0.32195121951219513,1
247500.0,3,1.75,1960,15681,1.0,0,0,3,7,1960,0,47.3576,-122.277,1750,15616,2015,48,48,0,4.75,126.27551020408163,4.75,0.0,0.12499202856960653,0
199000.0,4,1.5,1160,6400,1.0,0,0,4,7,1160,0,47.3036,-122.378,1160,6400,2014,39,39,0,5.5,171.55172413793105,5.5,0.0,0.18125,0
314000.0,3,1.75,1810,41800,1.0,0,0,5,7,1210,600,47.4109,-121.958,1650,135036,2014,34,34,0,4.75,173.48066298342542,4.75,0.3314917127071823,0.04330143540669856,2
437500.0,3,2.5,2320,36847,2.0,0,2,3,9,2320,0,47.4838,-121.714,2550,35065,2014,22,22,0,5.5,188.57758620689654,2.75,0.0,0.06296306347870925,2
850830.0,3,2.5,2070,13241,1.5,0,0,5,9,1270,800,47.6415,-122.315,2200,4500,2014,104,104,0,5.5,411.0289855072464,3.6666666666666665,0.3864734299516908,0.15633260327769805,1
555000.0,3,2.0,1980,3478,1.5,0,0,4,7,1440,540,47.6775,-122.372,1610,3478,2014,85,85,0,5.0,280.3030303030303,3.3333333333333335,0.2727272727272727,0.5692926969522715,1
699950.0,3,2.25,2190,107593,2.0,0,0,4,8,2190,0,47.7731,-122.08,2570,47777,2014,31,31,0,5.25,319.61187214611874,2.625,0.0,0.020354484027771323,2
1088000.0,3,2.5,2920,8113,2.0,0,0,3,8,2920,0,47.5814,-122.196,2370,8113,2014,64,4,1,5.5,372.6027397260274,2.75,0.0,0.3599161839023789,2
290000.0,3,1.0,1210,33919,1.0,0,0,3,7,1210,0,47.4375,-122.184,1640,14910,2014,60,60,0,4.0,239.6694214876033,4.0,0.0,0.0356732214982753,0
375000.0,3,2.5,2340,10005,1.0,0,0,4,8,1460,880,47.4431,-122.133,2250,8162,2015,37,37,0,5.5,160.25641025641025,5.5,0.37606837606837606,0.23388305847076463,0
460000.0,3,1.0,1670,4005,1.5,0,0,4,7,1170,500,47.6878,-122.38,1240,4005,2014,75,75,0,4.0,275.4491017964072,2.6666666666666665,0.2994011976047904,0.41697877652933835,1
188500.0,2,1.75,1240,2493,1.0,0,0,4,8,1240,0,47.3813,-122.322,1270,4966,2014,29,29,0,3.75,152.01612903225808,3.75,0.0,0.49739269955876453,0
680000.0,4,2.5,3140,28037,2.0,0,0,4,10,3140,0,47.7304,-122.082,2990,35001,2015,24,24,0,6.5,216.56050955414014,3.25,0.0,0.11199486392980704,2
470000.0,5,1.75,2030,12342,2.0,0,0,4,7,2030,0,47.6417,-122.109,2500,9433,2014,72,72,0,6.75,231.5270935960591,3.375,0.0,0.16447901474639443,2
597750.0,4,2.5,2310,9624,2.0,0,0,3,8,2310,0,47.5386,-122.053,1940,9636,2014,30,30,0,6.5,258.76623376623377,3.25,0.0,0.24002493765586036,2
570000.0,3,1.75,1260,3328,1.0,0,0,5,6,700,560,47.6823,-122.349,1380,3536,2015,110,110,0,4.75,452.3809523809524,4.75,0.4444444444444444,0.3786057692307692,1
272500.0,3,1.75,1540,12600,1.0,0,0,4,7,1160,380,47.3624,-122.031,1540,11656,2014,34,34,0,4.75,176.94805194805195,4.75,0.24675324675324675,0.12222222222222222,0
329950.0,3,1.75,2080,5969,1.0,0,2,3,7,1080,1000,47.5474,-122.295,2090,5500,2014,43,43,0,4.75,158.62980769230768,4.75,0.4807692307692308,0.3484670799128832,1
480000.0,4,2.5,3230,16171,2.0,0,3,3,9,2520,710,47.3183,-122.253,2640,8517,2014,13,13,0,6.5,148.60681114551085,3.25,0.21981424148606812,0.19974027580236225,0
740500.0,3,3.5,4380,6350,2.0,0,0,3,8,2780,1600,47.6981,-122.368,1830,6350,2014,114,15,1,6.5,169.06392694063928,3.25,0.365296803652968,0.6897637795275591,1
518500.0,3,3.5,1590,1102,3.0,0,0,3,8,1590,0,47.6824,-122.347,1620,3166,2014,4,4,0,6.5,326.1006289308176,2.1666666666666665,0.0,1.442831215970962,1
205425.0,2,1.0,880,6780,1.0,0,0,4,6,880,0,47.5009,-122.248,1190,6780,2014,69,69,0,3.0,233.4375,3.0,0.0,0.12979351032448377,0
171800.0,4,2.0,1570,9600,1.0,0,0,3,6,1570,0,47.4965,-122.303,1880,9000,2015,65,65,0,6.0,109.4267515923567,6.0,0.0,0.16354166666666667,0
535000.0,4,1.0,1610,2982,1.5,0,0,4,7,1610,0,47.587,-122.294,1610,4040,2015,90,90,0,5.0,332.29813664596276,3.3333333333333335,0.0,0.539906103286385,1
660000.0,3,2.5,2400,6474,1.0,0,2,3,8,1560,840,47.7728,-122.386,2340,10856,2015,51,51,0,5.5,275.0,5.5,0.35,0.3707136237256719,1
391500.0,3,2.0,1450,9132,1.0,0,0,3,7,1450,0,47.7288,-122.226,1580,9104,2014,27,27,0,5.0,270.0,5.0,0.0,0.15878230398598336,1
395000.0,2,1.0,770,6000,1.0,0,0,3,6,770,0,47.6999,-122.364,1710,6000,2015,62,62,0,3.0,512.987012987013,3.0,0.0,0.12833333333333333,1
445000.0,4,1.75,2100,4400,1.5,0,0,5,7,1720,380,47.5299,-122.266,1850,4400,2014,90,90,0,5.75,211.9047619047619,3.8333333333333335,0.18095238095238095,0.4772727272727273,1
770000.0,3,2.25,2910,10204,2.0,0,0,3,9,2910,0,47.6897,-122.098,2700,13992,2014,24,24,0,5.25,264.6048109965636,2.625,0.0,0.28518228145825164,2
1450000.0,4,2.75,2750,17789,1.5,0,0,3,8,1980,770,47.6141,-122.212,3060,11275,2015,101,23,1,6.75,527.2727272727273,4.5,0.28,0.15458991511608297,1
445000.0,3,2.25,2100,8201,1.0,0,2,3,8,1620,480,47.5091,-122.244,2660,8712,2014,47,47,0,5.25,211.9047619047619,5.25,0.22857142857142856,0.25606633337397877,0
260000.0,4,2.25,2160,8811,1.0,0,0,3,8,1360,800,47.3129,-122.39,2090,8400,2014,36,36,0,6.25,120.37037037037037,6.25,0.37037037037037035,0.24514811031664965,0
822500.0,5,3.5,2320,4960,2.0,0,0,5,7,1720,600,47.6763,-122.352,1700,4960,2014,88,88,0,8.5,354.5258620689655,4.25,0.25862068965517243,0.46774193548387094,1
430000.0,4,2.5,2070,4310,2.0,0,0,3,7,2070,0,47.5319,-121.85,1970,3748,2015,11,11,0,6.5,207.72946859903382,3.25,0.0,0.4802784222737819,2
212000.0,3,1.75,1060,7875,1.0,0,0,4,7,1060,0,47.2761,-122.152,1420,7680,2015,29,29,0,4.75,200.0,4.75,0.0,0.1346031746031746,0
660500.0,4,2.25,2010,9603,1.0,0,0,3,8,1440,570,47.5343,-122.054,2060,9793,2015,29,29,0,6.25,328.60696517412936,6.25,0.2835820895522388,0.2093095907528897,2
784000.0,3,3.5,3950,111078,1.5,0,0,3,9,2460,1490,47.697,-122.072,2480,88500,2014,25,25,0,6.5,198.48101265822785,4.333333333333333,0.37721518987341773,0.03556059705792326,2
453246.0,3,2.5,2010,2287,2.0,0,0,3,8,1390,620,47.5517,-121.998,1690,1662,2014,0,0,0,5.5,225.4955223880597,2.75,0.30845771144278605,0.8788806296458243,2
675000.0,4,3.5,2140,2278,3.0,0,0,3,9,2140,0,47.6734,-122.38,1540,2285,2015,10,10,0,7.5,315.42056074766356,2.5,0.0,0.9394205443371378,1
199000.0,3,1.75,1320,17390,1.0,0,0,4,7,1320,0,47.3257,-122.296,1550,19265,2014,58,58,0,4.75,150.75757575757575,4.75,0.0,0.07590569292696953,0
220000.0,4,1.75,2020,7840,1.0,0,0,3,7,1010,1010,47.3309,-122.299,1750,8140,2014,46,46,0,5.75,108.91089108910892,5.75,0.5,0.2576530612244898,0
452000.0,4,2.25,2590,10002,1.0,0,0,4,8,1340,1250,47.7689,-122.266,1550,10436,2014,46,46,0,6.25,174.51737451737452,6.25,0.4826254826254826,0.2589482103579284,1
382500.0,2,1.0,1190,4440,1.0,0,0,3,6,1190,0,47.7135,-122.287,1060,5715,2014,33,33,0,3.0,321.42857142857144,3.0,0.0,0.268018018018018,1
519950.0,3,2.25,1170,1249,3.0,0,0,3,8,1170,0,47.6722,-122.381,1350,1310,2014,0,0,0,5.25,444.4017094017094,1.75,0.0,0.9367493995196157,1
665000.0,2,1.0,1110,3200,1.0,0,0,3,7,1110,0,47.6338,-122.358,1170,3600,2014,89,89,0,3.0,599.0990990990991,3.0,0.0,0.346875,1
527700.0,5,2.5,2820,9375,1.0,0,0,4,8,1550,1270,47.5707,-122.128,2820,9375,2014,46,46,0,7.5,187.12765957446808,7.5,0.450354609929078,0.3008,2
205000.0,3,1.0,1610,8579,1.0,0,0,4,7,1010,600,47.4563,-122.171,1610,8579,2015,53,53,0,4.0,127.32919254658385,4.0,0.37267080745341613,0.1876675603217158,0
420000.0,3,1.0,1060,8097,1.0,0,0,4,7,940,120,47.7144,-122.351,1560,7940,2015,92,92,0,4.0,396.22641509433964,4.0,0.11320754716981132,0.13091268371001605,1
500000.0,4,2.25,2030,8517,1.0,0,0,4,8,1380,650,47.5495,-122.174,2230,8824,2015,54,54,0,6.25,246.30541871921181,6.25,0.32019704433497537,0.23834683574028415,2
921500.0,4,2.5,3670,315374,2.0,0,0,4,9,3670,0,47.7421,-122.026,2840,87991,2014,20,20,0,6.5,251.0899182561308,3.25,0.0,0.011636977049471421,2
890000.0,4,1.0,2550,4000,2.0,0,0,3,8,2370,180,47.6354,-122.353,2200,4000,2014,109,109,0,5.0,349.01960784313724,2.5,0.07058823529411765,0.6375,1
430000.0,2,2.5,2420,60984,2.0,0,0,3,7,2420,0,47.5262,-121.943,1940,193842,2014,7,7,0,4.5,177.68595041322314,2.25,0.0,0.03968253968253968,2
258000.0,5,2.0,2260,12500,1.0,0,0,4,8,1130,1130,47.3887,-122.286,1360,18000,2014,54,54,0,7.0,114.15929203539822,7.0,0.5,0.1808,0
